binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl_methoxy_C,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
281.27971784452404,8746.326622866814,12276.922476808408,1778.1111580088843,468.2909047416038,65.42735325822038,16.710551676958826,54.56750362374717,14660.029948117823,-5913.703325251008
281.37971784452395,9185.645375079761,12329.780635436648,1879.6735391820969,489.0869302292912,67.3720331691386,17.145195887310937,55.69833338021188,14838.756667284697,-5653.111292204936
281.47971784452386,9022.526870722038,12382.638794064887,1990.0682167055204,511.2870746112263,69.40451090649357,17.59699066668541,56.8643844604313,15027.859971415244,-6005.333100693206
281.579717844524,9232.65068111499,12435.496952693247,2110.335480519919,535.0194182966094,71.53013897336155,18.066848682209393,58.067121886873196,15228.51596105222,-5995.86527993723
281.6797178445239,9595.423517716887,12488.355111321487,2241.6734672463863,560.4268314389474,73.75468299487095,18.555744011901517,59.30808693694522,15442.073923950538,-5846.650406233652
281.77971784452404,9549.400408826266,12541.213269949847,2385.470691412053,587.6690480685718,76.08436047561811,19.06471716100238,60.58890190819052,15670.090988975284,-6120.6905801490175
281.87971784452395,9434.106513676172,12594.071428578089,2543.3501574718734,616.9250838693462,78.52588385415413,19.594880561939952,61.911275230836246,15914.378709566237,-6480.272195890066
281.97971784452386,9356.70318845764,12646.929587206327,2717.2324933602267,648.3960643062682,81.08650840629362,20.14742461188483,63.27700695676726,16177.069084847768,-6820.365896390127
282.079717844524,10012.819231563437,12699.787745834688,2909.431282088949,682.3085460314802,83.77408562941388,20.72362430863213,64.68799465660673,16460.71327854977,-6447.894046986334
282.1797178445239,10205.741134303444,12752.645904462928,3122.803325305684,718.9184371697011,86.59712283407352,21.324846553405056,66.14623975977183,16768.435876085565,-6562.694741782121
282.27971784452404,10466.089412010677,12805.504063091288,3360.991563705403,758.5156560634721,89.56484977901606,21.95255819813051,67.65385437584551,17104.182545213156,-6638.093133202479
282.37971784452395,10541.303973263446,12858.362221719528,3628.8202045705493,801.4297229709368,92.68729331377368,22.608334924954423,69.21306863940625,17473.12084613915,-6931.816872875705
282.47971784452386,11038.279359635879,12911.220380347768,3932.9304643613377,848.03657386997,95.97536114401198,23.293871057633073,70.82623862510542,17882.282889405826,-6844.003529769947
282.579717844524,11274.964396372605,12964.07853897613,4282.778551322868,898.7670555425424,99.44093601145481,24.01099041793699,72.49585488474517,18341.571927155677,-7066.607530783072
282.6797178445239,11159.769001408125,13016.936697604368,4692.147290826384,954.1178712304442,103.09698178917185,24.76165835590949,74.22455166423129,18865.28505147051,-7705.516050062384
282.77971784452404,12786.791728937696,13069.79485623273,5181.333926766871,1014.6663079946811,106.95766323975262,25.547995100922638,76.01511686540152,19474.31586620036,-6687.524137262662
282.87971784452395,13672.137959836027,13122.653014860969,5780.14543515375,1081.09107138387,111.03848147600215,26.372290601369812,77.87050282615847,20199.170796302118,-6527.032836466091
282.97971784452386,14754.799692235343,13175.511173489209,6531.729091619511,1154.2032516965294,115.35642751178968,27.23702104524744,79.79383800304817,21083.830803365334,-6329.031111129991
283.079717844524,15732.78888372372,13228.369332117569,7497.060952094137,1234.9942178580295,119.93015670449357,28.144867282070198,81.78843965329567,22190.287965709595,-6457.499081985874
283.1797178445239,18115.971792471046,13281.227490745809,8759.594092987692,1324.711512228024,124.7801873860679,29.098735399595824,83.85782763003758,23603.269846377225,-5487.298053906179
283.27971784452404,20367.708964281195,13334.08564937417,10429.151508116007,1424.9799855810238,129.9291275738024,30.101779747367942,86.00573942586003,25434.253789818235,-5066.544825537039
283.37971784452395,22783.74808542226,13386.943808002408,12643.707391595544,1537.9935612244228,135.40193436610946,31.157428744128236,88.23614662742241,27823.440270560037,-5039.692185137777
283.47971784452386,26922.2067283551,13439.80196663065,15567.367021841823,1666.8125591915639,141.22621149192068,32.26941385924005,90.55327298085405,30938.030445996053,-4015.823717640953
283.579717844524,33066.737494020344,13492.660125259008,19382.80506816255,1815.810621050856,147.43255152649934,33.44180222049321,92.96161431593603,34965.11178253534,-1898.3742885149986
283.6797178445239,39948.76124113665,13545.51828388725,24276.822732324683,1991.3203128626774,154.0549305568194,34.67903337431084,95.46596064192246,40097.861253647665,-149.10001251101494
283.77971784452404,48378.19386382495,13598.376442515608,30418.608914175624,2202.5216306913853,161.13116462895354,35.985960811446425,98.07142081409887,46514.69553363712,1863.498330187831
283.87971784452395,57145.8019597621,13651.23460114385,37931.61193779374,2462.595170179868,168.70343920639758,37.36789897445562,100.78345028483525,54352.29649758315,2793.505462178953
283.97971784452386,66360.76423884754,13704.09275977209,46861.23438797228,2790.113436876161,176.81892520101025,38.83067658629241,103.60788260575728,63674.6980690136,2686.066169833939
284.079717844524,78719.1989831767,13756.95091840045,57141.17550370223,3210.5638838639047,185.53049801551032,40.380697285906194,106.55096554902269,74441.15246681703,4278.046516359667
284.1797178445239,91928.84568217026,13809.80907702869,68560.48222313989,3757.786771470404,194.89757960398217,42.02500873239814,109.61940298087039,86474.62006295624,5454.225619214019
284.27971784452404,103349.54032656844,13862.667235657049,80731.33065654601,4474.982533705617,204.98712799678833,43.771381550151375,112.8204039661959,99430.5593394218,3918.9809871466423
284.37971784452395,115632.56636075699,13915.52539428529,93056.7512553941,5414.824841602518,215.87480428650207,45.62839974121654,116.16174102943425,112764.76643633905,2867.7999244179373
284.47971784452386,126529.2590740189,13968.383552913529,104704.75750560296,6638.149170684543,227.6463540449877,47.60556449845312,119.6518200694467,125706.19396781392,823.0651062049874
284.579717844524,133312.2397034351,14021.24171154189,114619.32468463201,8210.720978067322,240.39924894088972,49.71341372510164,123.29976515028498,137264.69980205747,-3952.460098622367
284.6797178445239,142184.93696261762,14074.099870170128,121632.11304424473,10197.76068330607,254.24464549341823,51.963660019874446,127.11552229694152,146337.29742553117,-4152.360462913552
284.77971784452404,149137.6591384725,14126.95802879849,124728.90436543053,12656.217828066678,269.30973215209343,54.36935044048208,131.10998754598288,151966.86929243425,-2829.210153961758
