binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:methoxy_C,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
279.3000537109374,8630.666244593545,11431.191938755726,871.5216053089316,148.08235627746382,41.077142755883614,46.435417003559046,11.279709411240203,41.368550665274746,12590.95672017808,-3960.290475584534
279.4000537109375,8085.715137724927,11484.050097384086,905.9627819108241,153.09781338611478,42.33874386513084,47.552271003960385,11.522739376066937,42.105859184503935,12686.630306110688,-4600.915168385761
279.50005371093744,8742.226959546524,11536.908256012326,942.4734539586228,158.37160990638304,43.65925050870217,48.70984099891193,11.773699638419412,42.86293285239353,12784.759043875758,-4042.532084329234
279.60005371093735,8670.850193162287,11589.766414640566,981.2216710310576,163.92173580719583,45.04237981117081,49.91012701943531,12.032938588979809,43.64047990949937,12885.535746807906,-4214.685553645619
279.7000537109375,8787.46203085143,11642.624573268928,1022.392768226537,169.76776898979716,46.492146133237235,51.1552532089808,12.300823937842958,44.43924039035695,12989.17257415568,-4201.710543304251
279.8000537109374,8324.967482364229,11695.482731897167,1066.1915275693711,175.93104585172188,48.012889989389436,52.447477164619755,12.57774401281102,45.25998783945535,13095.903404324536,-4770.935921960307
279.9000537109375,8534.239319068041,11748.340890525527,1112.8446586939729,182.43485352647284,49.60931029377857,53.78920010734043,12.864109160496636,46.10353113543663,13205.986553443025,-4671.747234374983
280.00005371093744,9005.338201093444,11801.199049153767,1162.603653348263,189.30464699096586,51.28650037816307,55.18297796638224,13.16035325961512,46.97071643127959,13319.707897528437,-4314.369696434993
280.10005371093735,8497.95302260894,11854.057207782007,1215.748078862756,196.56829476994463,53.0499882935269,56.631533472617186,13.466935356856796,47.86242921896235,13437.38446775667,-4939.431445147731
280.2000537109375,8816.369624626614,11906.915366410367,1272.5893886412002,204.2563576036843,54.90578198593708,58.137769367035155,13.78434143678546,48.77959652768583,13559.368601972696,-4742.998977346082
280.3000537109374,8923.999699765935,11959.773525038607,1333.4753435313078,212.40240520662613,56.860420030281816,59.70478284319021,14.113086338448884,49.723189265558666,13686.05275225402,-4762.053052488085
280.4000537109375,8396.104347334458,12012.631683666967,1398.7951573577216,221.04337715487807,58.92102871499569,61.335881356879945,14.453715832752875,50.69422471547019,13817.875068799665,-5421.770721465207
280.50005371093744,8632.96477032876,12065.489842295206,1468.9855039341367,230.21999503216318,61.09538639993042,63.03459995257207,14.80680887615212,51.69376919670206,13955.325905686863,-5322.361135358104
280.60005371093735,8830.022052103628,12118.348000923448,1544.5375529474322,239.97723427981768,63.39199622272134,64.80472027491476,15.172980057966958,52.72294090492788,14098.955425611228,-5268.9333735076
280.7000537109375,8897.625997855714,12171.206159551806,1626.0052403802763,250.3648657837682,65.82016841031408,66.650291454703,15.552882260520866,53.782912944207,14249.382520785595,-5351.756522929882
280.8000537109374,9161.896347821856,12224.064318180048,1714.01502937423,261.4380791571337,68.39011366861641,68.57565308304325,15.947209553487497,54.87491656582897,14407.305319582389,-5245.408971760533
280.9000537109375,8746.326622866814,12276.922476808408,1809.2774866215498,273.2582020186279,71.11304938135822,70.58546051520493,16.356700346281535,56.00024463016079,14573.513620321592,-5827.186997454777
281.00005371093744,9185.645375079761,12329.780635436648,1912.6011014528488,285.89353242425125,74.00132065817299,72.68471277727345,16.7821408250527,57.160255308975785,14748.903698883223,-5563.258323803462
281.10005371093735,9022.526870722038,12382.638794064887,2024.908938210892,299.4203051133143,77.06853864368915,74.87878338544344,17.2243687040061,58.3563760474326,14934.496104169664,-5911.969233447626
281.2000537109375,9232.65068111499,12435.496952693247,2147.2589947856295,313.9238165364106,80.32973894690923,77.17345442950997,17.684277324247592,59.59010780644421,15131.457342522399,-5898.806661407409
281.3000537109374,9595.423517716887,12488.355111321487,2280.8696547638397,329.49973895431197,83.80156359206909,79.57495432062329,18.162820137379054,60.86302960814413,15341.126872697854,-5745.703354980968
281.4000537109375,9549.400408826266,12541.213269949847,2427.152581706063,346.25566049529505,87.50247054983,82.08999965922546,18.66101561560645,62.176803409239476,15565.051801385107,-6015.651392558841
