binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:imide_N-C=O,component:acid_O-C=O,component:pi-pi_star,total_fit,residual
285.2000537109375,111721.90129583506,14629.596221791438,54655.651432058425,43215.73523420358,433.44828196743055,83.03186326190135,188.45679558357713,113205.91982886635,-1484.0185330312815
285.3000537109374,101472.45343002635,14684.485918038761,44356.54053791299,44091.7853631757,466.85681465391787,87.86160891669721,195.46436001037634,103882.99460270844,-2410.5411726820894
285.4000537109375,90600.10398863767,14739.375614286206,35580.470691062386,43213.88162491421,504.22137955168415,93.12122019780885,202.92562313069246,94333.996153143,-3733.892164505334
285.50005371093744,83517.71650873289,14794.265310533527,28332.9668227574,40743.469764772526,546.1995438296051,98.86272070147076,210.89538063983167,84726.65954323436,-1208.9430345014698
285.60005371093735,74578.29727050934,14849.15500678085,22513.49322274963,37086.440215426104,593.6166736380771,105.14615624034417,219.43866819488443,75367.28994302989,-788.9926725205441
285.7000537109375,67662.61811513924,14904.044703028296,17953.575803609016,32730.751183769557,647.5491419540251,112.04110774275509,228.63279581061568,66576.59473591426,1086.0233792249783
285.8000537109374,59670.65023577537,14958.934399275618,14451.568003998806,28118.17723828912,709.4729710886531,119.62854542034766,238.5696986162473,58596.35085668879,1074.2993790865803
285.9000537109375,53910.265383433674,15013.824095523065,11800.962895207056,23591.24581538314,781.528555799459,128.00311943579084,249.358619557655,51564.92310090617,2345.3422825275047
286.00005371093744,46749.86214218331,15068.713791770388,9810.461231724697,19389.11928736249,866.9785779953758,137.27602372358427,261.12912934333013,45533.67804191986,1216.1841002634465
286.10005371093735,40271.919666874666,15123.603488017707,8315.666537931043,15660.272266976646,970.9620455099418,147.5786474916357,274.03447493839616,40492.11746086537,-220.19779399070103
286.2000537109375,37476.1629461545,15178.493184265155,7183.623545264798,12477.662667817882,1101.6563946717524,159.06738896867864,288.2552298438111,36388.75841083208,1087.404535322421
286.3000537109374,33061.89224893775,15233.382880512476,6312.1478297803515,9853.920665615256,1271.9238985123861,171.930347667149,304.00319706363626,33147.30881915125,-85.41657021349965
286.4000537109375,29974.701937055008,15288.272576759922,5626.019323401849,7756.97268025195,1501.4024440878834,186.39733498877553,321.52548909009585,30680.589848580476,-705.8879115254676
286.50005371093744,28521.185615070648,15343.162273007245,5071.808850024358,6125.745771619453,1818.775120240753,202.75611280033323,341.10867875261465,28903.356806444757,-382.1711913741092
286.60005371093735,28217.541707516913,15398.051969254568,4612.599408785888,4884.657806357101,2263.62293208967,221.38056725427896,363.08288108170166,27743.395564823208,474.14614269370577
286.7000537109375,27233.964361382128,15452.941665502014,4223.339602889562,3955.490158967058,2886.9012264545117,242.78141404205022,387.8255905377995,27149.279658392996,84.68470298913235
286.8000537109374,26354.55868487952,15507.831361749335,3887.139475147951,3265.7880698216472,3748.8365339806014,267.6976823819693,415.76506162513533,27093.058184706642,-738.4994998271213
286.9000537109375,26878.0735724709,15562.721057996783,3592.531660115467,2753.693042275779,4913.123723166942,297.25750000197985,447.3829860788135,27566.709969635765,-688.6363971648643
287.00005371093744,28851.17902752771,15617.610754244102,3331.565338732724,2369.7364070261824,6436.876008790756,333.2473585249525,483.21618894126374,28572.252056259982,278.9269712677269
287.10005371093735,30434.628217157708,15672.500450491425,3098.5438982903393,2076.4579927215973,8356.798376977607,378.53406643661947,523.8570417572047,30106.691826674793,327.93639048291516
287.2000537109375,32672.52122671517,15727.390146738871,2889.2211862213276,1846.7612039423182,10673.109551797355,437.6720808085282,569.9522768410626,32144.106446349462,528.414780365707
287.3000537109374,35283.5203729457,15782.279842986194,2700.3039568693175,1661.7654189922766,13333.063650451997,517.686223114971,622.1998851913731,34617.29897760613,666.2213953395694
287.4000537109375,37573.19297775608,15837.16953923364,2529.1482471224695,1508.679065863079,16214.92197925536,628.9332864702601,681.34379499182,37400.19591293663,172.99706481945032
287.50005371093744,39890.15294490059,15892.059235480961,2373.573547672174,1378.980773152398,19112.132354854584,785.8162194709005,748.1660600828129,40290.72819071383,-400.57524581324105
287.60005371093735,43051.23793413333,15946.948931728284,2231.74643209681,1267.0121686518796,21722.153625350053,1006.978807945154,823.4763398046007,42998.31630557678,52.92162855654897
287.7000537109375,45036.39862134683,16001.83862797573,2102.1045534709206,1168.9694619741142,23663.219085038443,1314.5091278000418,908.0985234285741,45158.739379687824,-122.34075834099349
287.8000537109374,46399.23706510351,16056.728324223051,1983.3042224943804,1082.2240215311988,24562.14594792528,1731.7118977058171,1002.8544426842409,46418.968856563966,-19.731791460457316
287.9000537109375,46920.79051387197,16111.618020470498,1874.1821567899285,1004.8868582297343,24214.494575724304,2279.2404375668957,1108.5447213624066,46592.96677014377,327.8237437282005
288.00005371093744,45581.34024072126,16166.50771671782,1773.7261872673023,935.5399004724558,22701.924572543918,2969.7882520613684,1225.9269261463621,45773.41355520923,-192.07331448796322
288.10005371093735,43581.52075443739,16221.397412965141,1681.052000671251,873.0741939349859,20342.90515891601,3801.9541587832873,1355.691299903263,44276.074225173936,-694.5534707365441
288.2000537109375,42547.389362310205,16276.28710921259,1595.3842190749056,816.5931848013502,17531.69178859051,4753.994386096795,1498.4344674970507,42472.385155273194,75.00420703701093
288.3000537109374,40551.33898198767,16331.176805459909,1516.040764258472,765.3540966084882,14611.753723314225,5777.741899092008,1654.6315926954767,40656.69888142858,-105.35989944091125
288.4000537109375,40317.54397789469,16386.066501707355,1442.419805159826,718.7310747032743,11832.239378046314,6792.649587728878,1824.6075194956716,38996.71386684132,1320.830111053372
288.50005371093744,37349.39463138889,16440.956197954678,1373.9887862629996,676.1907161478201,9351.112366060068,7682.354684270799,2008.507438674766,37533.11018937113,-183.7155579822429
288.60005371093735,37266.206298057536,16495.845894202,1310.2751577139097,637.2747921528518,7250.175480211608,8304.405413321816,2206.2675690307833,36204.24430663297,1061.9619914245632
288.7000537109375,34710.868838166076,16550.735590449447,1250.8585102977725,601.5873466271025,5551.015345157999,8529.595469307036,2417.5862258948855,34901.37848773424,-190.5096495681646
288.8000537109374,33025.84629889961,16605.62528669677,1195.3638776792675,568.7846389270051,4231.282823274254,8303.931501454215,2641.8954699400215,33546.88359797154,-521.0372990719261
288.9000537109375,32655.067499220746,16660.514982944216,1143.4560132132165,538.56707048607,3241.1519359255244,7681.516178958575,2878.33330562133,32143.539487148933,511.52801207181255
289.00005371093744,29733.330703686875,16715.40467919154,1094.834483754634,510.67258168796155,2518.393930546789,6791.602597349909,3125.7161734750007,30756.624446005833,-1023.2937423189578
289.10005371093735,28815.772457364725,16770.294375438858,1049.2294508639304,484.87118707773664,2000.2534005903776,5776.629301085634,3382.511330878548,29463.789045935086,-648.0165885703609
289.2000537109375,28849.319369737583,16825.184071686304,1006.3980323376538,460.96041711500425,1631.146436843731,4752.92189989442,3646.8087622426306,28323.41962011974,525.8997496178417
289.3000537109374,27129.052863306308,16880.073767933627,966.1211552589696,438.76149438036447,1366.3108615281017,3800.9898734772087,3916.2926710753845,27368.549823653655,-239.49696034734734
289.4000537109375,26671.9299062107,16934.963464181074,928.2008266515714,418.1161111585975,1172.3359222836036,2968.968619222127,4188.213590658884,26610.798534155856,61.13137205484236
289.50005371093744,26176.77930525773,16989.853160428396,892.4577600088605,398.88370292373384,1025.790159952425,2278.5767756402947,4459.363914935705,26044.925473889416,131.85383136831297
289.60005371093735,25901.643356586785,17044.74285667572,858.7293059742793,380.9391329040388,911.0432600055401,1731.197003011979,4726.06231726452,25652.713875836074,248.92948075071035
289.7000537109375,25184.906124520698,17099.632552923165,826.8676437040906,364.1707189072039,818.0442740019057,1314.1240329411348,4984.155974908957,25406.99519738646,-222.0890728657614
289.8000537109374,25287.337267417144,17154.522249170484,796.738196264057,348.478546222979,740.4596739560817,1006.6990641435323,5229.0531931309415,25275.950922888078,11.386344529066264
289.9000537109375,25452.730812431528,17209.41194541793,768.2182390732445,333.7730205186976,674.2982294891281,785.6169021133599,5455.801733228879,25227.12006984124,225.61074259028828
290.00005371093744,25442.344539246886,17264.301641665254,741.1956751225093,319.97362277069436,616.9866092436088,628.7922627165027,5659.228044915681,25230.47785643425,211.866682812637
290.10005371093735,24803.642804859082,17319.191337912576,715.5679546251497,307.00783484672155,566.7922272856736,517.5857095409033,5834.147546659344,25260.29261087037,-456.6498060112863
