binding_energy_eV,raw_intensity,background,component:aromatic_C-C_C=C,component:C-N_C-Cl,component:imide_N-C=O,component:acid_O-C=O,total_fit,residual
281.50005371093744,9957.942536540284,12384.717632703649,2684.415090023583,398.5272260202151,129.87682632536087,55.00547438329925,15652.542249456106,-5694.599712915822
281.60005371093735,10437.86132505419,12442.167585506137,2867.6975895286637,419.86258218946716,133.96615849585802,56.351511068051494,15920.045426788176,-5482.184101733987
281.7000537109375,10567.191474266396,12499.617538308758,3070.1155748436386,442.94342072138414,138.25086070497196,57.747303790921265,16208.674698369672,-5641.483224103276
281.8000537109374,10845.173721561374,12557.067491111246,3294.440308986621,467.9636837368536,142.74352190424528,59.19532179323206,16521.410327532198,-5676.236605970824
281.9000537109375,10031.522309378654,12614.517443913865,3544.032626071489,495.1447406839272,147.45775668869646,60.69818852288706,16861.850755880863,-6830.32844650221
282.00005371093744,10882.739170872423,12671.967396716353,3823.0756049019487,524.7401251006763,152.4083067132,62.258693265690596,17234.45012669787,-6351.710955825447
282.10005371093735,11647.859027813218,12729.41734951884,4136.9626783311405,557.0412425365897,157.61115394015403,63.87980380656812,17644.912228133293,-5997.053200320075
282.2000537109375,12188.421718893185,12786.867302321461,4492.953022799373,592.3842828704618,163.08364731295467,65.5646802254108,18100.852935529663,-5912.431216636478
282.3000537109374,12442.530600245678,12844.31725512395,4901.267652075129,631.1586390182679,168.84464469458283,67.3166899444475,18612.90488085638,-6170.3742806107
282.4000537109375,12293.988980199729,12901.767207926569,5376.873119204493,673.8172349152425,174.9146721971407,69.13942415767045,19196.511658401116,-6902.522678201387
282.50005371093744,13076.051138254039,12959.217160729058,5942.266606872522,720.8893291680852,181.31610336429938,71.03671578808189,19874.72591592205,-6798.6747776680095
282.60005371093735,14197.48577358729,13016.667113531545,6631.597824496246,772.9966576279584,188.0733610657333,73.0126591361521,20682.347615857634,-6484.861842270344
282.7000537109375,15139.685715840093,13074.117066334165,7496.377567626169,830.8743689681472,195.21314542992377,75.07163140238077,21671.65377976079,-6531.968063920696
282.8000537109374,16600.2728917553,13131.567019136653,8612.751752536093,895.3994393778406,202.7646916961883,77.21831628937025,22919.701219036146,-6319.428327280846
282.9000537109375,18960.443793920895,13189.016971939272,10089.793022592927,967.631824932601,210.7600625244257,79.45772991426566,24536.65961190349,-5576.2158179825965
283.00005371093744,20891.82005574071,13246.466924741762,12077.46250318506,1048.8788106018517,219.23448008304507,81.7952492911892,26673.83796790291,-5782.017912162199
283.10005371093735,23631.961376134994,13303.916877544249,14771.915883200149,1140.802956683591,228.2267041704656,84.23664367655603,29529.09906527501,-5897.137689140018
283.2000537109375,28543.168938703817,13361.36683034687,18414.922586510063,1245.6116789771172,237.77946374250868,86.78810910755826,33346.468668684116,-4803.299729980299
283.3000537109374,34129.89169835385,13418.816783149357,23283.73980391207,1366.3949341527332,247.93995056058654,89.45630650735349,38406.3477782821,-4276.456079928248
283.4000537109375,42743.195500971,13476.266735951976,29668.294013507533,1507.7178761151176,258.76038529176157,92.24840377988205,45003.28741464627,-2260.091913675271
283.50005371093744,52823.98314873411,13533.716688754466,37834.267240284236,1676.6227253728314,270.2986683435814,95.17212237371538,53410.07744512883,-586.0942963947236
283.60005371093735,64402.43999107711,13591.166641556954,47973.49124769145,1884.231182982593,282.6191300861022,98.23578885994957,63829.74399117705,572.695999900061
283.7000537109375,79823.60760938984,13648.616594359573,60146.002194292414,2148.1299946832296,295.7933979978616,101.44839214424843,76339.99057347733,3483.61703591251
283.8000537109374,94691.17274178895,13706.066547162061,74219.52874312787,2495.6134096180945,309.9014018119077,104.81964702090785,90835.92974874083,3855.2429930481157
283.9000537109375,112870.18572087656,13763.51649996468,89810.38228503594,2967.5869767293534,325.0325421200912,108.36006487915988,106974.87836872923,5895.307352147327
284.00005371093744,129726.7126922836,13820.96645276717,106225.33329727697,3622.474003171802,341.2870534074929,112.08103249239373,124122.14183911582,5604.570853167781
284.10005371093735,144660.15413809108,13878.416405569658,122405.00044432424,4538.853531072334,358.7775996203561,115.99489996580881,141297.04288055238,3363.111257538694
284.2000537109375,158688.30158516724,13935.866358372277,136894.9277473544,5814.968131575422,377.6311499876908,120.11507909371495,157143.5084663835,1544.7931187837385
284.3000537109374,166391.80554521215,13993.316311174767,147935.47860347352,7562.9752961694185,397.99119660388806,124.45615359834271,170014.21756101996,-3622.412015807815
284.4000537109375,173568.90267443884,14050.766263977384,153808.5755873883,9896.228200639198,420.0203965418121,129.03400300682515,178304.6244515535,-4735.721777114668
284.50005371093744,174878.74230295495,14108.216216779874,153438.7832359565,12909.15073890405,443.9037565112112,133.86594230438754,181033.91989045605,-6155.1775875010935
284.60005371093735,174067.08825641448,14165.666169582364,146897.46652663487,16651.16225431028,469.85253984887316,138.9708800338097,178323.1183704102,-4256.0301139957155
284.7000537109375,172428.93191209654,14223.116122384981,135366.38982301657,21097.693526655054,498.1091872312973,144.3694982769121,171329.67815756483,1099.2537545317027
284.8000537109374,165926.55076065805,14280.566075187471,120595.96566407982,26121.242520284854,528.953745382278,150.0844590901622,161676.81246402458,4249.73829663347
284.9000537109375,156652.29342616105,14338.01602799009,104322.43532868593,31463.140357893993,562.7126618871647,156.14064368310767,150842.4450201403,5809.848406020756
285.00005371093744,146294.25317824236,14395.465980792578,87955.83623943961,36706.127436121475,599.7714386804907,162.56543324716182,139819.76652828133,6474.486649961036
285.10005371093735,130374.23585254778,14452.915933595068,72510.85860185797,41261.53989955459,640.5937006784078,169.38904434528743,129035.29718003132,1338.9386725164513
285.2000537109375,119542.26528468661,14510.365886397685,58642.08681116259,44423.62024562743,685.7509350237866,176.6449378540586,118438.46881606555,1103.7964686210616
285.3000537109374,105039.27840359538,14567.815839200175,46701.28407021296,45563.521934456854,735.969713648714,184.37032958858538,107752.96188710727,-2713.6834835118934
285.4000537109375,93304.66712742201,14625.265792002794,36795.51126566519,44421.21858450099,792.2067899563746,192.6068442589615,96826.80927638432,-3522.1421489623026
285.50005371093744,81505.61645845449,14682.715744805282,28846.462162405616,41257.26460991374,855.7670120899945,201.40137401681486,85843.61090323146,-4337.994444776967
285.60005371093735,73786.02258651522,14740.165697607772,22650.94966680612,36700.74436482016,928.4840308898648,210.80723065577064,75231.15099077969,-1445.1284042644693
285.7000537109375,65011.84856091111,14797.615650410391,17938.181479312447,31457.364873551378,1012.9880735623772,220.88571892585938,65427.035795762444,-415.18723485133523
285.8000537109374,58146.91809280431,14855.065603212879,14418.075790280505,26115.61575786047,1113.086362889314,231.70830987505732,56733.55182411823,1413.3662686860844
285.9000537109375,51222.4793464118,14912.515556015498,11816.563067227593,21092.573837890188,1234.2767276011236,243.35965972053117,49299.28884845493,1923.1904979568644
286.00005371093744,44980.542537679525,14969.965508817986,9896.826272606833,16646.751926490542,1384.3993991403884,255.94180245747802,43153.88490951323,1826.6576281662929
286.10005371093735,39342.66252453786,15027.415461620476,8468.146475997999,12905.526303367702,1574.4018912047395,269.5799420720162,38245.070074262934,1097.5924502749258
286.2000537109375,35199.490774209415,15084.865414423095,7385.620320393451,9893.371003374155,1819.1450642063455,284.4303781448161,34467.432180541866,732.0585936675488
286.3000537109374,32717.534358409626,15142.315367225583,6544.397900271337,7560.802997516201,2138.1171076043165,300.69120698151806,31686.324579598957,1031.2097788106694
286.4000537109375,29380.159664832678,15199.765320028204,5871.583602847355,5813.364898288121,2555.8550194383697,318.61653250088824,29759.18537310294,-379.02570827026284
286.50005371093744,27929.4113962665,15257.21527283069,5318.01042588217,4537.695284290559,3101.816960828287,338.5349720181868,28553.272915849895,-623.8615195833954
286.60005371093735,26878.86791083382,15314.66522563318,4851.130890334408,3621.6461353806512,3809.426940381129,360.87321798680983,27957.74240971618,-1078.87449888236
286.7000537109375,27618.772798992315,15372.1151784358,4449.497417912302,2966.994043499183,4714.050193985265,386.1852758816344,27888.842109714184,-270.06931072186853
286.8000537109374,27330.399493824174,15429.565131238287,4098.810161403253,2495.1821048630773,5849.769304743217,415.18769392351544,28288.514396171347,-958.1149023471735
286.9000537109375,27968.985055984,15487.015084040908,3789.2646606224066,2147.807621177879,7245.011800325956,448.8005863203025,29117.89975248745,-1148.9146965034488
287.00005371093744,28725.01170935108,15544.465036843394,3513.862307131503,1883.9818507999546,8917.289681115222,488.1934921284817,30347.792368018556,-1622.7806586674742
287.10005371093735,30336.49784492694,15601.914989645884,3267.3761776281794,1676.422987590601,10867.470928088362,534.8340926768193,31948.019175629845,-1611.5213307029044
287.2000537109375,33330.764547980245,15659.364942448501,3045.733968341961,1507.5528213919329,13074.009521919275,590.5365535694142,33877.19780767108,-546.4332596908353
287.3000537109374,36837.83200004344,15716.814895250991,2845.652498371515,1366.2551601900184,15487.346041984885,657.5048341137596,36073.573429911165,764.258570132275
287.4000537109375,38163.504704618885,15774.264848053612,2664.4179420183686,1245.491178648766,18024.364804972105,738.3648491338646,38446.903622826714,-283.3989182078294
287.50005371093744,42967.13392575008,15831.714800856098,2499.748456505551,1140.697755561991,20562.891637645214,836.1780700405016,40871.230720609354,2095.9032051407266
287.60005371093735,45423.22697832297,15889.164753658588,2349.7032466591545,1048.7861425374272,22937.884718674835,954.4282623369205,43179.967123866925,2243.259854456046
287.7000537109375,47122.148780416486,15946.614706461207,2212.6184116658683,967.5496558164998,24945.263332852483,1096.9728533992254,45169.01896019528,1953.1298202212056
287.8000537109374,47907.193182001574,16004.064659263695,2087.0590370959317,895.3261991361774,26364.207788842876,1267.9511722358823,46618.60885657456,1288.5843254270148
287.9000537109375,46569.939245371635,16061.514612066316,1971.7818515187819,830.8088007230726,27005.50434682441,1471.6436937622675,47341.25330489485,-771.314059523218
288.00005371093744,45769.57502703093,16118.964564868804,1865.7052705791991,772.9377300780482,26773.212407777854,1712.279500090456,47243.09947339436,-1473.52444636343
288.10005371093735,42998.75553949398,16176.414517671292,1767.884929030049,720.8361824798882,25702.88315825641,1993.7932652162394,46361.81205265388,-3363.0565131598996
288.2000537109375,43037.12027821056,16233.86447047391,1677.493466839873,673.7691446478519,23946.86275342026,2319.537716089955,44851.52755147185,-1814.4072732612913
288.3000537109374,41974.62286209398,16291.314423276399,1593.8037025113913,631.1149902669755,21718.497425171976,2691.9619438228324,42926.69248504957,-952.0696229555906
288.4000537109375,41516.44637409054,16348.76437607902,1516.174547349305,592.3445506924003,19234.129334128804,3112.2690693544723,40803.681877604,712.7644964865394
288.50005371093744,39608.03556024965,16406.214328881506,1444.0391600279977,557.0049765987205,16678.5898897026,3580.0674011951687,38665.91575640599,942.119803843656
288.60005371093735,38071.4109987707,16463.664281683996,1376.8949446816086,524.7069373776707,14194.119315732954,4093.026340523048,36652.41181999928,1418.999178771417
288.7000537109375,36955.21957673084,16521.114234486617,1314.295073868211,495.1142954742079,11881.653419922575,4646.541702488264,34858.71872623987,2096.500850490964
288.8000537109374,34569.89193996163,16578.564187289106,1255.8412783582187,467.9356894907867,9805.929552246682,5233.406581879281,33341.67728926407,1228.214650697555
288.9000537109375,33616.052604187396,16636.014140091724,1201.1776935487721,442.9176233101615,8001.056955439466,5843.478733820646,32124.64514621077,1491.4074579766275
289.00005371093744,32663.238042267152,16693.46409289421,1149.9855904797523,419.8387593329574,6476.060992922641,6463.344385154918,31202.69382078448,1460.5442214826726
289.10005371093735,31047.981119769407,16750.9140456967,1101.978850071158,398.5051826509893,5220.578124696187,7076.0177089941735,30547.993912109207,499.9872076602005
289.2000537109375,29820.765675595885,16808.36399849932,1056.9000639482313,378.74645305611614,4210.649317226203,7660.800879078743,30115.460711808613,-294.69503621272816
