binding_energy_eV,raw_intensity,background,component:imide_carbonyl_O,component:acid_carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
527.7558081986467,22152.775098910763,23576.14437560986,760.7504078165035,162.1547009840526,113.42781102402212,24612.477295434437,-2459.7021965236745
527.8558081986467,22404.37376099468,23606.779848260096,803.2589627375153,169.09141030380187,117.49481289364658,24696.625034195058,-2292.251273200378
527.9558081986468,22414.46917497789,23637.41532091033,849.3882625251073,176.47984247907783,121.78349060729111,24785.066916521806,-2370.5977415439156
528.0558081986468,23262.528799208358,23668.050793560567,899.5559826145957,184.35979707749408,126.3101709129247,24878.27674416558,-1615.7479449572238
528.1558081986467,22197.829840692455,23698.686266210767,954.241060024822,192.7755204242804,131.09270380753446,24976.795550467403,-2778.9657097749478
528.2558081986467,22996.46452820494,23729.321738861003,1013.9948813449296,201.77631021738358,136.15063534380323,25081.24356576712,-2084.7790375621807
528.3558081986467,23095.943356635078,23759.95721151124,1079.455257853017,211.4172173532117,141.50540360858318,25192.33509032605,-2096.3917336909726
528.4558081986468,23074.512071430134,23790.592684161475,1151.3644358720483,221.75986305522414,147.18056146997722,25310.897544558724,-2236.38547312859
528.5558081986468,23458.178949739733,23821.22815681171,1230.5933709488077,232.87339323337665,153.2020303255551,25437.89695131945,-1979.7180015797167
528.6558081986467,22907.086050375172,23851.863629461914,1318.176348896316,244.83559676078525,159.59838984665208,25574.473964965666,-2667.387914590494
528.7558081986467,23019.921317388784,23882.49910211215,1415.3634216977057,257.73422029852696,166.4012096303953,25721.997953738777,-2702.0766363499934
528.8558081986467,23754.705387028964,23913.134574762385,1523.70400543168,271.6685198108929,173.6454297767727,25882.15252978173,-2127.447142752768
528.9558081986468,23348.742643082107,23943.77004741262,1645.1845801979646,286.75109859394297,181.3697987466554,26057.075524951186,-2708.332881869079
529.0558081986468,23415.913599890308,23974.405520062857,1782.4579184795311,303.11009454728503,189.61737848167004,26249.590911571344,-2833.6773116810364
529.1558081986467,24519.814796913462,24005.040992713057,1939.2210669967187,320.8917976118401,198.43612874747734,26463.58998606909,-1943.775189155629
529.2558081986467,25157.79407910708,24035.676465363293,2120.8227695538426,340.2638060218841,207.8795850842641,26704.642626023284,-1546.8485469162042
529.3558081986467,25096.600612248967,24066.31193801353,2335.2025682042936,361.41887622124733,218.0076477218885,26980.941030160957,-1884.3404179119898
529.4558081986468,24411.595617148265,24096.947410663764,2594.27198262608,384.5797045674416,228.88750248395223,27304.68660034124,-2893.090983192975
529.5558081986468,25820.41005798934,24127.582883314,2915.8245858188316,410.00503664224556,240.59469924792919,27694.00720502301,-1873.59714703367
529.6558081986467,26356.553287790928,24158.218355964204,3325.9829949014843,437.99780349240694,253.21441919636422,28175.41357355446,-1818.8602857635306
529.7558081986467,26986.377040723466,24188.85382861444,3862.034682454126,468.91656160272333,266.84296923889764,28786.648041910186,-1800.2710011867202
529.8558081986467,27506.031161901832,24219.489301264675,4575.2666288177115,503.1925779709563,281.5895511530815,29579.538059206425,-2073.5068973045927
529.9558081986468,29152.748042525487,24250.12477391491,5533.102783240657,541.3567749169313,297.5783651299805,30622.162697202482,-1469.4146546769953
530.0558081986468,31130.686379055485,24280.760246565147,6819.544476194654,584.0838555508828,314.951124326132,31999.339702636815,-868.6533235813295
530.1558081986467,33200.78540007017,24311.395719215347,8532.726234552869,632.2657171808459,333.8700824267792,33810.257753375845,-609.4723533056749
530.2558081986467,35643.938179025026,24342.031191865583,10778.46782761996,687.1329780190517,354.5217179172459,36162.15371542184,-518.2155363968122
530.3558081986467,38096.83214031867,24372.66666451582,13659.139830568287,750.4517297990851,377.1212930249497,39159.379517908135,-1062.5473775894643
530.4558081986468,42858.92099258807,24403.302137166054,17257.96600706108,824.8308759732979,401.91864508212626,42888.01766528256,-29.096672694489826
530.5558081986468,47707.361296524934,24433.93760981629,21619.86479883747,914.1800364349882,429.20583693483627,47397.188282023584,310.1730145013498
530.6558081986467,53846.670450699385,24464.573082466493,26730.64942127211,1024.352942110252,459.3278064573478,52678.903252306205,1167.7671983931796
530.7558081986467,59521.710515200866,24495.20855511673,32496.29585232085,1163.9883196324547,492.69810800236087,58648.1908350724,873.5196801284692
530.8558081986467,66374.64082659637,24525.844027766965,38722.80241644453,1345.511040987023,529.8235301923042,65123.981015390826,1250.6598112055435
530.9558081986468,72593.3881729068,24556.4795004172,45096.06681318536,1586.176040853086,571.3442108435564,71810.0665652992,783.3216076075914
531.0558081986468,79453.46609173497,24587.114973067437,51164.43040110757,1908.9308412566343,618.1003009617061,78278.57651639334,1174.889575341629
531.1558081986467,84610.17772531882,24617.750445717636,56340.855583139724,2342.7592846122784,671.2425618043432,83972.60787527398,637.5698500448343
531.2558081986467,88037.83693859844,24648.385918367872,59965.09559904957,2922.086662967802,732.4122964767497,88267.980476862,-230.14353826355364
531.3558081986467,88605.36573479432,24679.02139101811,61464.07960484108,3684.824520174322,804.0243891014742,90631.94990513497,-2026.5841703406477
531.4558081986468,89671.85114780812,24709.656863668344,60569.50005738046,4668.757333573971,889.692779980943,90837.60703460372,-1165.7558867955959
531.5558081986468,88836.92903706364,24740.29233631858,57443.8272609057,5906.236182156111,994.8348726348166,89085.19065201521,-248.26161495156703
531.6558081986467,85510.27393118171,24770.927808968783,52602.20669340158,7417.494797661673,1127.472315195094,85918.10161522713,-407.82768404542
531.7558081986467,83066.69110987775,24801.56328161902,46701.81613663824,9203.203724926543,1299.201785142343,82005.78492832615,1060.9061815516034
531.8558081986467,78926.50771271178,24832.198754269255,40357.926493051775,11236.92689360109,1526.2351341966987,77953.28727511883,973.2204375929578
531.9558081986468,75475.83518648556,24862.83422691949,34058.62350004799,13457.799251125709,1830.3060945018742,74209.56307259506,1266.2721138905035
532.0558081986468,71816.0543432854,24893.469699569727,28151.918156544125,15763.251339318173,2239.127451827068,71047.7666472591,768.2876960263093
532.1558081986467,69194.10661068537,24924.105172219926,22860.67703061086,18002.18641310661,2785.9923400351377,68572.96095597254,621.1456547128328
532.2558081986467,67257.34299895898,24954.740644870162,18302.642108191038,19973.054894361194,3508.0940883817775,66738.53173580416,518.8112631548138
532.3558081986467,64211.62298566686,24985.376117520398,14510.515380092409,21439.511678341158,4443.238236922452,65378.641412876415,-1167.0184272095576
532.4558081986468,62408.41852670017,25016.011590170634,11452.524378964912,22179.681039376992,5624.858734712048,64273.07574322459,-1864.6572165244215
532.5558081986468,62221.20020316766,25046.64706282087,9053.33748172182,22063.718891581855,7075.589929853716,63239.293365978265,-1018.0931628106046
532.6558081986467,62241.265800028035,25077.282535471073,7213.830836226912,21112.831300929392,8799.965417673593,62203.910090300975,37.35570972706046
532.7558081986467,61602.523278380555,25107.91800812131,5827.8156619349065,19488.968683701904,10776.920239854913,61201.622593613036,400.9006847675191
532.8558081986467,60692.67396800332,25138.553480771545,4794.392699042579,17424.753382811636,12952.496941661771,60310.19650428753,382.4774637157898
532.9558081986468,60840.54410205955,25169.18895342178,4025.5627642635163,15150.509104608052,15232.641626239027,59577.902448532375,1262.6416535271783
533.0558081986468,60334.92187903697,25199.824426072017,3449.6009563396256,12854.880319680127,17476.22336692788,58980.52906901965,1354.3928100173216
533.1558081986467,59148.76597419007,25230.459898722216,3011.239606039756,10675.540937484442,19491.65126964038,58408.8917118868,739.874262303274
533.2558081986467,57674.33869919449,25261.095371372452,2669.859922169567,8703.275529893914,21048.162724422036,57682.393547857966,-8.054848663472512
533.3558081986467,56093.27398355639,25291.730844022688,2396.756801516684,6989.102406638312,21918.29482131132,56595.884873489005,-502.61088993261365
533.4558081986468,54052.39345702624,25322.366316672924,2172.254704819155,5551.537732399818,21952.170713943473,54998.32946783537,-945.9360108091278
533.5558081986468,51416.828001712194,25353.00178932316,1983.138694930752,4383.975501274295,21143.589798136578,52863.70578366479,-1446.877781952593
533.6558081986467,49823.980978971,25383.637261973363,1820.6027596956567,3462.257380067782,19633.04547647539,50299.54287821219,-475.561899241191
533.7558081986467,47060.62083933829,25414.2727346236,1678.7393517051084,2751.985569506831,17644.86739845494,47489.86505429048,-429.2442149521885
