binding_energy_eV,raw_intensity,background,component:carbonyl_O,component:acid_hydroxyl_OH,total_fit,residual
526.8000537109374,23153.8413552988,22898.207265626603,655.8550768399243,177.43116825409365,23731.493510720622,-577.6521554218234
526.9000537109374,23138.833560648523,22930.06775837811,686.4332470638587,183.4138892234992,23799.914894665468,-661.0813340169443
527.0000537109374,23325.581314116593,22961.92825112962,719.179038126629,189.7028424391445,23870.81013169539,-545.228817578798
527.1000537109375,22914.162028305756,22993.788743881127,754.3000220282659,196.31917806234773,23944.40794397174,-1030.2459156659825
527.2000537109375,22642.725141447158,23025.649236632635,792.0289288219107,203.28589388954393,24020.96405934409,-1378.2389178969315
527.3000537109374,23158.616429603542,23057.509729384106,832.6273523804612,210.628031309166,24100.765113073732,-942.14868347019
527.4000537109374,22527.265397397685,23089.370222135614,876.3901073235985,218.37289578356976,24184.133225242782,-1656.867827845097
527.5000537109374,23274.995426330308,23121.230714887122,923.6503802702363,226.5503054028681,24271.43140056023,-996.4359742299202
527.6000537109375,22746.20839372331,23153.09120763863,974.7858683245302,235.19287164111003,24363.069947604272,-1616.8615538809609
527.7000537109375,22915.890438061208,23184.95170039014,1030.2261802935589,244.3363171358581,24459.514197819553,-1543.6237597583458
527.8000537109374,23093.92615932184,23216.81219314161,1090.4619210079406,254.01983613298938,24561.29395028254,-1467.3677909606995
527.9000537109374,23367.240078161572,23248.672685893118,1156.0561409262573,264.2865042158803,24669.015331035254,-1301.775252873682
528.0000537109374,23065.998592069947,23280.533178644626,1227.6593089217588,275.1837451051526,24783.376232671537,-1717.3776406015895
528.1000537109375,23284.245329441306,23312.393671396134,1306.0298185667455,286.76386371367903,24905.18735367656,-1620.9420242352535
528.2000537109375,23098.227988492486,23344.254164147642,1392.0635229544894,299.08465632091566,25035.402343423048,-1937.174354930561
528.3000537109374,23518.941541757264,23376.114656899113,1486.8382793998803,312.21011075534415,25175.16304705434,-1656.221505297075
528.4000537109374,22937.892376863943,23407.97514965062,1591.6834496927538,326.2112119222519,25325.869811265628,-2387.977434401684
528.5000537109374,23683.36653624198,23439.83564240213,1708.2902578419714,341.16687098660526,25489.292771230706,-1805.926234988725
528.6000537109375,23449.078868894427,23471.696135153637,1838.8872237076391,357.1650001489861,25667.748359010264,-2218.669490115837
528.7000537109375,23439.13536790217,23503.556627905145,1986.5154414962444,374.3037594105273,25864.375828811917,-2425.2404609097466
528.8000537109374,23856.637658747404,23535.417120656617,2155.4500966430373,392.69300726452633,26083.560224564182,-2226.922565816778
528.9000537109374,24164.21063936205,23567.277613408125,2351.8244380649726,412.4559942698767,26331.558045742975,-2167.3474063809263
529.0000537109374,24903.215534630523,23599.138106159633,2584.51521958823,433.7313476258693,26617.384673373734,-1714.169138743211
529.1000537109375,24930.366764043578,23630.99859891114,2866.3365962516473,456.6754074218346,26954.01060258462,-2023.6438385410438
529.2000537109375,25041.119186701653,23662.85909166265,3215.5529620174593,481.46499358377736,27359.877047263886,-2318.757860562233
529.3000537109374,25737.447147239585,23694.719584414117,3657.650988402974,508.3007114394864,27860.671284256576,-2123.2241370169904
529.4000537109374,25714.533100662,23726.580077165625,4227.202356986817,537.4109525809931,28491.193386733437,-2776.6602860714374
529.5000537109374,26660.70192921049,23758.440569917133,4969.5065132743875,569.0568340875534,29297.003917279075,-2636.301988068586
529.6000537109375,27484.503529166348,23790.30106266864,5941.54781243239,603.5384758362549,30335.387350937286,-2850.883821770938
529.7000537109375,29298.680616410187,23822.16155542015,7211.672611483271,641.2032997437351,31675.037466647154,-2376.356850236967
529.8000537109374,30585.232835407118,23854.02204817162,8857.343176253395,682.4575408425904,33393.82276526761,-2808.589929860489
529.9000537109374,32017.913660899598,23885.88254092313,10960.413220002356,727.7830336443362,35574.078794569825,-3556.165133670227
530.0000537109374,34622.34509623753,23917.743033674637,13599.630637646213,777.7627833430428,38295.136454663894,-3672.791358426366
530.1000537109375,38633.194961641966,23949.603526426145,16840.4921802662,833.1211051810715,41623.21681187341,-2990.0218502314456
530.2000537109375,43407.657051229406,23981.464019177653,20723.058766470742,894.7874738880174,45599.31025953641,-2191.653208307005
530.3000537109374,49190.508813995024,24013.324511929124,25248.705019820856,963.9978143683833,50226.02734611837,-1035.518532123344
530.4000537109374,55294.1228381373,24045.185004680632,30366.78477045642,1042.4526153090392,55454.422390446096,-160.29955230879568
530.5000537109374,62018.33822972739,24077.04549743214,35961.692160885985,1132.5571737764362,61171.29483209456,847.043397632835
530.6000537109375,70344.68999206419,24108.905990183648,41840.04691301379,1237.7737232530114,67186.72662645046,3157.9633656137303
530.7000537109375,77121.51097907321,24140.766482935156,47717.98577372964,1363.115134534778,73221.86739119957,3899.6435878736374
530.8000537109374,81849.86184924259,24172.626975686628,53212.45908490924,1515.8009962677509,78900.88705686362,2948.974792378969
530.9000537109374,85797.65513402318,24204.487468438136,57850.41122488186,1706.0741247786332,83760.97281809863,2036.6823159245541
531.0000537109374,88020.3203832304,24236.347961189644,61120.94227818244,1948.1345057374833,87305.42474510957,714.8956381208263
531.1000537109375,88480.48927456983,24268.20845394115,62587.66414476945,2261.086868244849,89116.95946695545,-636.4701923856192
531.2000537109375,87023.80374019707,24300.06894669266,62031.21051894377,2669.7219494716564,89001.00141510808,-1977.197674911018
531.3000537109374,84933.35620434307,24331.92943944413,59536.643613784654,3204.8729610296423,87073.44601425843,-2140.0898099153565
531.4000537109374,82177.37005569425,24363.78993219564,55458.332977427766,3903.030122185426,83725.15303180883,-1547.782976114584
531.5000537109374,78010.0716781385,24395.650424947147,50290.513218724554,4804.886294446616,79491.04993811832,-1480.97825997982
531.6000537109375,74227.87207527917,24427.510917698655,44533.4711671406,5952.553455097324,74913.53553993658,-685.6634646574093
531.7000537109375,70494.48706676484,24459.371410450163,38614.24860565515,7385.346547946669,70458.96656405198,35.52050271285407
531.8000537109374,67170.12073718857,24491.231903201635,32861.33033575752,9134.261658589796,66486.82389754895,683.2968396396172
531.9000537109374,64879.69100059901,24523.092395953143,27507.730926472144,11215.519476350215,63246.342798775506,1633.3482018235009
532.0000537109374,62396.596438457775,24554.95288870465,22702.819244397622,13623.697870697048,60881.47000379932,1515.1264346584576
532.1000537109375,60984.21524971856,24586.81338145616,18525.194966660332,16324.918169055536,59436.926517172025,1547.2887325465344
532.2000537109375,61178.38594122411,24618.673874207663,14995.505630139094,19250.232232530365,58864.41173687712,2313.9742043469887
532.3000537109374,59783.53489687333,24650.53436695914,12089.613498434845,22289.01316840975,59029.161033803735,754.3738630695952
532.4000537109374,60239.8059061148,24682.394859710643,9751.98777174429,25282.605470806728,59716.98810226166,522.8178038531405
532.5000537109374,61431.557832630606,24714.25535246215,7908.506039889228,28021.235785889538,60643.99717824091,787.5606543896938
532.6000537109375,60098.4278435518,24746.11584521366,6477.629695967149,30252.98362417052,61476.729165351324,-1378.3013217995249
532.7000537109375,61645.98662445502,24777.976337965167,5379.1499970253435,31718.195913584168,61875.32224857468,-229.33562411965977
532.8000537109374,60639.3338128923,24809.83683071664,4540.158957068257,32214.004329201605,61564.0001169865,-924.6663040942003
532.9000537109374,56826.82634211486,24841.697323468146,3898.3650234586125,31665.165341201096,60405.22768812785,-3578.4013460129936
533.0000537109374,56323.917837069355,24873.557816219654,3403.212255912492,30154.764566050093,58431.53463818224,-2107.616801112883
533.1000537109375,55124.4493643525,24905.418308971162,3015.4260580299233,27890.448412098573,55811.29277909966,-686.8434147471635
